,Economy (GDP per Capita),Generosity,Country,Happiness Rank,Health (Life Expectancy),year,Happiness Score,Trust (Government Corruption),Freedom,Continent
38,1.096992493,0.155579001,Chile,39,0.889260828,2020,6.228499889,0.06284935,0.41748222700000004,South America
24,1.131,0.19699999999999998,Chile,25,0.8079999999999999,2018,6.476,0.061,0.431,South America
25,1.159,0.187,Chile,26,0.92,2019,6.444,0.055999999999999994,0.35700000000000004,South America
23,1.2167,0.31595,Chile,24,0.8188300000000001,2016,6.705,0.11450999999999999,0.37789,South America
78,1.08116579055786,0.0288068410009146,China,79,0.741415500640869,2017,5.2729997634887695,0.0227942746132612,0.47278770804405196,Asia
93,0.990533412,0.079021044,China,94,0.867248535,2020,5.123899937,0.117255554,0.6016051170000001,Asia
83,0.89012,0.08185,China,84,0.81658,2015,5.14,0.02781,0.5169699999999999,Asia
92,1.0290000000000001,0.057999999999999996,China,93,0.893,2019,5.191,0.1,0.521,Asia
82,1.0278,0.049589999999999995,China,83,0.73561,2016,5.245,0.02745,0.44011999999999996,Asia
85,0.9890000000000001,0.028999999999999998,China,86,0.799,2018,5.246,0.10300000000000001,0.597,Asia
35,1.07062232494354,0.14901447296142598,Colombia,36,0.595027923583984,2017,6.35699987411499,0.0466687418520451,0.47748741507530196,South America
36,0.96,0.099,Colombia,37,0.635,2018,6.26,0.039,0.531,South America
32,0.91861,0.18400999999999998,Colombia,33,0.69077,2015,6.477,0.0512,0.53466,South America
42,0.985,0.099,Colombia,43,0.841,2019,6.125,0.034,0.47,South America
30,1.0303200000000001,0.15625999999999998,Colombia,31,0.59659,2016,6.481,0.053989999999999996,0.44735,South America
43,0.93220371,0.092374094,Colombia,44,0.8100201490000001,2020,6.163400172999999,0.04584837,0.526890039,South America
141,0.27399999999999997,0.275,Comoros,142,0.505,2019,3.9730000000000003,0.078,0.142,Africa
137,0.27509,0.1827,Comoros,138,0.29980999999999997,2016,3.9560000000000004,0.18437,0.15412,Africa
